Data;Gospodarz;Gosc
2018-03-31;Zagłębie Lubin;Jagiellonia Białystok
2018-03-31;Korona Kielce;Lechia Gdańsk
2018-03-31;Pogoń Szczecin;Śląsk Wrocław
2018-03-31;Wisła Kraków;Lech Poznań
2018-03-31;Wisła Płock;Piast Gliwice
2018-04-07;Cracovia;Zagłębie Lubin
2018-04-07;Jagiellonia Białystok;Wisła Płock
2018-04-07;Lech Poznań;Górnik Zabrze
2018-04-07;Lechia Gdańsk;Arka Gdynia
2018-04-07;Legia Warszawa;Pogoń Szczecin
2018-04-07;Piast Gliwice;Termalica Bruk-Bet Nieciecza
2018-04-07;Sandecja Nowy Sącz;Wisła Kraków
2018-04-07;Śląsk Wrocław;Korona Kielce
